"Precinct","rank1","rank2","rank3"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","skipped","skipped"
